百色,2014-12,102,102~102,轻度污染,77,143,15,2.1,42,64,244
百色,2015-01,100,30~178,良,74.1,117,23.1,1.832,29.5,52,189
百色,2015-02,92,49~176,良,67.6,94.5,25.4,1.089,27,78.5,198
百色,2015-03,74,38~126,良,53.9,84.1,18.6,1.229,23.5,74.6,170
百色,2015-04,79,50~110,良,55.2,96.5,26,1.793,20.4,115.2,200
百色,2015-05,57,30~95,良,34.1,59.3,14.3,1.719,10.3,83.8,114
百色,2015-06,49,21~78,优,26.8,45.7,14.1,0.697,10.5,88.2,114
百色,2015-07,48,18~88,优,31.2,45.4,11.5,0.777,10.6,77,100
百色,2015-08,51,17~87,良,33.4,49.8,9.6,0.826,11.8,62.7,119
百色,2015-09,51,31~79,良,31.3,52.8,11.9,0.573,10.8,66.4,126
百色,2015-10,66,23~109,良,45.5,71.9,14.6,0.629,16.8,87.5,150
百色,2015-11,48,18~97,优,32.8,44,14.5,0.733,15.2,47.7,99
百色,2015-12,58,23~117,良,40.8,54.1,14.5,0.755,19.6,35,84
百色,2016-01,58,21~97,良,39.8,59.5,13.2,0.745,17.3,42.3,97
百色,2016-02,73,28~226,良,53.1,69.7,10.7,0.693,13.9,69.6,160
百色,2016-03,71,32~107,良,50.3,73.8,12.7,0.535,16.5,74.8,143
百色,2016-04,62,35~122,良,41.2,66.6,12.9,0.527,12.7,81.2,129
百色,2016-05,56,23~88,良,34.2,57.6,10.3,0.455,9.7,88.8,99
百色,2016-06,44,32~63,优,23.3,41.7,7.5,0.41,8,78.2,82
百色,2016-07,47,28~67,优,28.5,47.5,11,0.423,9.1,76.8,119
百色,2016-08,44,19~102,优,25.7,43.4,6.4,0.535,9.7,68.7,81
百色,2016-09,67,32~99,良,44.8,68.5,11.4,0.443,14.6,98.3,192
百色,2016-10,61,26~100,良,39.2,59.7,14.6,0.4,15.3,91.7,202
百色,2016-11,59,21~87,良,41.3,64.2,20.3,0.48,17.3,74.2,117
百色,2016-12,95,34~188,良,70.2,101.7,26.1,0.781,32.9,79.3,181
百色,2017-01,95,25~258,良,70.8,90.6,31,0.894,22.6,59.1,168
百色,2017-02,89,36~192,良,65.5,86.8,31.3,0.838,25.6,79.8,190
